feature,importance
points_delta_1m,1671
points_lag_1,1093
points_pct_change_3m,385
points_delta_3m,348
top10_streak,266
points_roll_max_3,261
points_roll_mean_3,224
points_vs_field_mean,142
points_lag_3,141
points_vs_field_max,121
points_roll_max_12,119
points_roll_std_12,113
points_roll_std_3,108
points_roll_max_6,86
points_lag_12,61
points_roll_std_6,57
points_lag_6,48
month_sin,46
points_roll_mean_6,42
points_roll_mean_12,38
rank_lag_1,31
month_cos,29
rank_lag_3,16
rank_lag_12,15
rank_lag_6,13
